"q5","q25","q50","q75","q95","id","baseweek","start","end","q95old","window","basedate","startdate","enddate"
1,3,4,6,7,"11","2010W32","2010W12","2010W20",6,"8",2010-08-08,2010-03-21,2010-05-16
1,3,5,6,11,"11","2010W32","2009W46","2010W20",6,"26",2010-08-08,2009-11-15,2010-05-16
1,2,4,5,10,"11","2010W32","2009W20","2010W20",6,"52",2010-08-08,2009-05-17,2010-05-16
5,5,5,9,11,"11","2010W33","2010W07","2010W11",11,"4",2010-08-15,2010-02-14,2010-03-14
5,5,5,10,13,"11","2010W33","2010W03","2010W11",11,"8",2010-08-15,2010-01-17,2010-03-14
2,4,5,10,19,"11","2010W33","2009W37","2010W11",11,"26",2010-08-15,2009-09-13,2010-03-14
1,2,3,5,13,"11","2010W33","2009W11","2010W11",11,"52",2010-08-15,2009-03-15,2010-03-14
5,9,14,19,23,"11","2010W34","2009W44","2009W48",19,"4",2010-08-22,2009-11-01,2009-11-29
1,2,4,5,19,"11","2010W34","2009W40","2009W48",19,"8",2010-08-22,2009-10-04,2009-11-29
1,1,2,3,6,"11","2010W34","2009W22","2009W48",19,"26",2010-08-22,2009-05-31,2009-11-29
1,1,2,3,6,"11","2010W34","2008W49","2009W48",19,"52",2010-08-22,2008-11-30,2009-11-29
1,2,4,5,7,"11","2010W35","2010W19","2010W23",6,"4",2010-08-29,2010-05-09,2010-06-06
1,3,5,6,6,"11","2010W35","2010W15","2010W23",6,"8",2010-08-29,2010-04-11,2010-06-06
1,3,5,6,11,"11","2010W35","2009W49","2010W23",6,"26",2010-08-29,2009-12-06,2010-06-06
1,2,4,5,10,"11","2010W35","2009W23","2010W23",6,"52",2010-08-29,2009-06-07,2010-06-06
2,4,5,6,10,"11","2010W36","2010W10","2010W14",11,"4",2010-09-05,2010-03-07,2010-04-04
2,4,5,7,10,"11","2010W36","2010W06","2010W14",11,"8",2010-09-05,2010-02-07,2010-04-04
2,4,5,7,16,"11","2010W36","2009W40","2010W14",11,"26",2010-09-05,2009-10-04,2010-04-04
1,2,4,5,11,"11","2010W36","2009W14","2010W14",11,"52",2010-09-05,2009-04-05,2010-04-04
11,12,14,16,18,"11","2010W37","2010W01","2010W05",16,"4",2010-09-12,2010-01-03,2010-01-31
11,15,17,19,19,"11","2010W37","2009W49","2010W05",16,"8",2010-09-12,2009-12-06,2010-01-31
1,1,2,4,17,"11","2010W37","2009W31","2010W05",16,"26",2010-09-12,2009-08-02,2010-01-31
1,1,2,4,17,"11","2010W37","2009W05","2010W05",16,"52",2010-09-12,2009-02-01,2010-01-31
16,16,16,16,16,"11","2010W38","2009W52","2010W04",17,"4",2010-09-19,2009-12-27,2010-01-24
17,17,18,19,19,"11","2010W38","2009W48","2010W04",17,"8",2010-09-19,2009-11-29,2010-01-24
1,1,2,4,12,"11","2010W38","2009W30","2010W04",17,"26",2010-09-19,2009-07-26,2010-01-24
1,1,2,4,12,"11","2010W38","2009W04","2010W04",17,"52",2010-09-19,2009-01-25,2010-01-24
2,3,5,6,7,"11","2010W39","2010W11","2010W15",12,"4",2010-09-26,2010-03-14,2010-04-11
2,3,5,6,10,"11","2010W39","2010W07","2010W15",12,"8",2010-09-26,2010-02-14,2010-04-11
2,3,5,6,11,"11","2010W39","2009W41","2010W15",12,"26",2010-09-26,2009-10-11,2010-04-11
1,2,4,6,11,"11","2010W39","2009W15","2010W15",12,"52",2010-09-26,2009-04-12,2010-04-11
